Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
"Survey mean consumption or income per capita, total population (2005 PPP $ per day)",SI.SPR.PCAP.05,"Survey mean consumption or income per capita, total population (2005 PPP $ per day)",,,
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,"Child employment in agriculture, female (% of female economically active children ages 7-14)",,,
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,"Child employment in agriculture, male (% of male economically active children ages 7-14)",,,
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,Child employment in agriculture (% of economically active children ages 7-14),,,
Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),,,
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,"Employment to population ratio, ages 15-24, female (%) (national estimate)",,,
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",,,
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,"Employment to population ratio, ages 15-24, male (%) (national estimate)",,,
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",,,
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,"Employment to population ratio, ages 15-24, total (%) (national estimate)",,,
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",,,
"Employers, female (% of employment)",SL.EMP.MPYR.FE.ZS,"Employers, female (% of employment)",,,
"Employers, male (% of employment)",SL.EMP.MPYR.MA.ZS,"Employers, male (% of employment)",,,
"Employers, total (% of employment)",SL.EMP.MPYR.ZS,"Employers, total (% of employment)",,,
"Self-employed, female (% of females employed)",SL.EMP.SELF.FE.ZS,"Self-employed, female (% of females employed)",,,
"Self-employed, male (% of males employed)",SL.EMP.SELF.MA.ZS,"Self-employed, male (% of males employed)",,,
"Self-employed, total (% of total employed)",SL.EMP.SELF.ZS,"Self-employed, total (% of total employed)",,,
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,"Employment to population ratio, 15+, female (%) (national estimate)",,,
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",,,
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)",,,
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",,,
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,"Employment to population ratio, 15+, total (%) (national estimate)",,,
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",,,
"Vulnerable employment, female (% of female employment)",SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment)",,,
"Vulnerable employment, male (% of male employment)",SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment)",,,
"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,"Vulnerable employment, total (% of total employment)",,,
"Wage and salaried workers, female (% of females employed)",SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of females employed)",,,
"Wage and salary workers, male (% of males employed)",SL.EMP.WORK.MA.ZS,"Wage and salary workers, male (% of males employed)",,,
"Wage and salaried workers, total (% of total employed)",SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employed)",,,
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",,,
"Contributing family workers, female (% of females employed)",SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of females employed)",,,
"Contributing family workers, male (% of males employed)",SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of males employed)",,,
"Contributing family workers, total (% of total employed)",SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employed)",,,
GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,GDP per person employed (constant 1990 PPP $),,,
Employment in industry (% of total employment),SL.IND.EMPL.ZS,Employment in industry (% of total employment),,,
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",,,
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",,,
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,Child employment in manufacturing (% of economically active children ages 7-14),,,
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,"Children in employment, self-employed (% of children in employment, ages 7-14)",,,
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,"Child employment in services, female (% of female economically active children ages 7-14)",,,
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)",,,
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,Child employment in services (% of economically active children ages 7-14),,,
Employment in services (% of total employment),SL.SRV.EMPL.ZS,Employment in services (% of total employment),,,
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)",,,
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)",,,
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,"Children in employment, study and work (% of children in employment, ages 7-14)",,,
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)",,,
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)",,,
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)",,,
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)",,,
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,"Labor force participation rate for ages 15-24, female (%) (national estimate)",,,
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",,,
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)",,,
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",,,
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)",,,
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",,,
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",,,
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",,,
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",,,
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",,,
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),,,
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),,,
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",,,
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",,,
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",,,
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",,,
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)",,,
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)",,,
"Part time employment, female (% of total part time employment)",SL.TLF.PART.TL.FE.ZS,"Part time employment, female (% of total part time employment)",,,
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",,,
"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,"Labor force with primary education, female (% of female labor force)",,,
"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,"Labor force with primary education, male (% of male labor force)",,,
Labor force with primary education (% of total),SL.TLF.PRIM.ZS,Labor force with primary education (% of total),,,
"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,"Labor force with secondary education, female (% of female labor force)",,,
"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,"Labor force with secondary education, male (% of male labor force)",,,
Labor force with secondary education (% of total),SL.TLF.SECO.ZS,Labor force with secondary education (% of total),,,
"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,"Labor force with tertiary education, female (% of female labor force)",,,
"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,"Labor force with tertiary education, male (% of male labor force)",,,
Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,Labor force with tertiary education (% of total),,,
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)",,,
"Labor force, total",SL.TLF.TOTL.IN,"Labor force, total",,,
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",,,
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",,,
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",,,
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",,,
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",,,
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",,,
"Long-term unemployment, female (% of female unemployment)",SL.UEM.LTRM.FE.ZS,"Long-term unemployment, female (% of female unemployment)",,,
"Long-term unemployment, male (% of male unemployment)",SL.UEM.LTRM.MA.ZS,"Long-term unemployment, male (% of male unemployment)",,,
Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,Long-term unemployment (% of total unemployment),,,
"Unemployment with primary education, female (% of female unemployment)",SL.UEM.PRIM.FE.ZS,"Unemployment with primary education, female (% of female unemployment)",,,
"Unemployment with primary education, male (% of male unemployment)",SL.UEM.PRIM.MA.ZS,"Unemployment with primary education, male (% of male unemployment)",,,
Unemployment with primary education (% of total unemployment),SL.UEM.PRIM.ZS,Unemployment with primary education (% of total unemployment),,,
"Unemployment with secondary education, female (% of female unemployment)",SL.UEM.SECO.FE.ZS,"Unemployment with secondary education, female (% of female unemployment)",,,
"Unemployment with secondary education, male (% of male unemployment)",SL.UEM.SECO.MA.ZS,"Unemployment with secondary education, male (% of male unemployment)",,,
Unemployment with secondary education (% of total unemployment),SL.UEM.SECO.ZS,Unemployment with secondary education (% of total unemployment),,,
"Unemployment with tertiary education, female (% of female unemployment)",SL.UEM.TERT.FE.ZS,"Unemployment with tertiary education, female (% of female unemployment)",,,
"Unemployment with tertiary education, male (% of male unemployment)",SL.UEM.TERT.MA.ZS,"Unemployment with tertiary education, male (% of male unemployment)",,,
Unemployment with tertiary education (% of total unemployment),SL.UEM.TERT.ZS,Unemployment with tertiary education (% of total unemployment),,,
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)",,,
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",,,
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)",,,
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,"Children in employment, wage workers (% of children in employment, ages 7-14)",,,
Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,Emigration rate of tertiary educated (% of total tertiary educated population),,,
Net migration,SM.POP.NETM,Net migration,,,
Refugee population by country or territory of asylum,SM.POP.REFG,Refugee population by country or territory of asylum,,,
Refugee population by country or territory of origin,SM.POP.REFG.OR,Refugee population by country or territory of origin,,,
"International migrant stock, total",SM.POP.TOTL,"International migrant stock, total",,,
International migrant stock (% of population),SM.POP.TOTL.ZS,International migrant stock (% of population),,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),,,
Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,Depth of the food deficit (kilocalories per person per day),,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Consumption of iodized salt (% of households),,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Vitamin A supplementation coverage rate (% of children ages 6-59 months),,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",,,
Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),,,
Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,Completeness of total death reporting (% of reported total deaths to estimated total deaths),,,
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",,,
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)",,,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)",,,
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",,,
Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,Contraceptive prevalence (% of women ages 15-49),,,
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)",,,
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)",,,
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)",,,
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",,,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",,,
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",,,
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)",,,
Wanted fertility rate (births per woman),SP.DYN.WFRT,Wanted fertility rate (births per woman),,,
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Female headed households (% of households with a female head),,,
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),,,
Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),,,
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),,,
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),,,
Age dependency ratio (% of working-age population),SP.POP.DPND,Age dependency ratio (% of working-age population),,,
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)",,,
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)",,,
Population growth (annual %),SP.POP.GROW,Population growth (annual %),,,
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),,,
Technicians in R&D (per million people),SP.POP.TECH.RD.P6,Technicians in R&D (per million people),,,
"Population, total",SP.POP.TOTL,"Population, total",,,
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Population, female (% of total)",,,
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)",,,
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,"Completeness of birth registration, urban (%)",,,
Completeness of birth registration (%),SP.REG.BRTH.ZS,Completeness of birth registration (%),,,
Rural population,SP.RUR.TOTL,Rural population,,,
Rural population growth (annual %),SP.RUR.TOTL.ZG,Rural population growth (annual %),,,
Rural population (% of total population),SP.RUR.TOTL.ZS,Rural population (% of total population),,,
Urban population growth (annual %),SP.URB.GROW,Urban population growth (annual %),,,
Urban population,SP.URB.TOTL,Urban population,,,
Urban population (% of total),SP.URB.TOTL.IN.ZS,Urban population (% of total),,,
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49),,,
"International tourism, number of arrivals",ST.INT.ARVL,"International tourism, number of arrivals",,,
"International tourism, number of departures",ST.INT.DPRT,"International tourism, number of departures",,,
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"International tourism, receipts (current US$)",,,
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)",,,
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)",,,
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)",,,
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)",,,
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)",,,
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"International tourism, expenditures (current US$)",,,
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)",,,
6.07 No. days to start a business,STARTBUSDAYS,No. days to start a business*,Value,,
6.07 No. days to start a business (rank),STARTBUSDAYS_R,No. days to start a business*,Rank,,
6.06 No. procedures to start a business,STARTBUSPROC,No. procedures to start a business*,Value,,
6.06 No. procedures to start a business (rank),STARTBUSPROC_R,No. procedures to start a business*,Rank,,
"4.03 Tuberculosis cases/100,000 pop.",TBPC,"Tuberculosis cases/100,000 pop.*",Value,,
"4.03 Tuberculosis cases/100,000 pop. (rank)",TBPC_R,"Tuberculosis cases/100,000 pop.*",Rank,,
"6.10 Trade tariffs, % duty",TFDUTY,"Trade tariffs, % duty*",Value,,
"6.10 Trade tariffs, % duty (rank)",TFDUTY_R,"Trade tariffs, % duty*",Rank,,
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP),,,
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,Import volume index (2000 = 100),,,
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)",,,
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)",,,
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,"Share of tariff lines with international peaks, manufactured products (%)",,,
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,"Tariff rate, applied, simple mean, manufactured products (%)",,,
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, manufactured products (%)",,,
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,"Share of tariff lines with specific rates, manufactured products (%)",,,
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,"Tariff rate, applied, weighted mean, manufactured products (%)",,,
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",,,
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)",,,
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)",,,
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,"Share of tariff lines with international peaks, all products (%)",,,
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)",,,
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, all products (%)",,,
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,"Share of tariff lines with specific rates, all products (%)",,,
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,"Tariff rate, applied, weighted mean, all products (%)",,,
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, all products (%)",,,
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)",,,
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)",,,
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,"Share of tariff lines with international peaks, primary products (%)",,,
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,"Tariff rate, applied, simple mean, primary products (%)",,,
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, primary products (%)",,,
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,"Share of tariff lines with specific rates, primary products (%)",,,
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,"Tariff rate, applied, weighted mean, primary products (%)",,,
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, primary products (%)",,,
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),,,
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports),,,
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports),,,
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,ICT goods imports (% total goods imports),,,
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports),,,
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports),,,
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports),,,
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports),,,
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Merchandise imports (current US$),,,
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports),,,
Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,Merchandise imports from developing economies outside region (% of total merchandise imports),,,
Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),,,
Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports),,,
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),,,
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),,,
Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,Merchandise imports from developing economies in South Asia (% of total merchandise imports),,,
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),,,
